 #,2022 GTMI Indicators & Sub-indicators NL,Response options & Data format NL,Operationalisatie,Prompt
1,Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?,"0= Nee, 1= Alleen cloud strategie/beleid (nog geen platform), 2= Ja (platform in gebruik)","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Alleen cloud strategie/beleid (nog geen platform), 2= Ja (platform in gebruik)  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties? ? 

ANTWOORD: 
 Informatie over de beschikbaarheid van een gedeeld cloud platform voor alle overheids organisaties is niet beschikbaar. Vraag dit na bij de leverancier van de cloud dienst. ","Antwoord volgens het data-format. DATA FORMAT: 0= Nee, 1= Alleen cloud strategie/beleid (nog geen platform), 2= Ja (platform in gebruik)  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties? ? 

ANTWOORD:"
1.1,Naam van het Overheids Cloud platform,Tekst,"Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Naam van het Overheids Cloud platform ? 

ANTWOORD: Ja, er is een gedeeld cloud platform beschikbaar voor alle overheids organisaties. De naam van het Overheids Cloud platform is Rijkscloud. ","Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Naam van het Overheids Cloud platform ? 

ANTWOORD:"
1.2,Cloud platform / strategie URL,URL,"Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Cloud platform / strategie URL ? 

ANTWOORD: Ja, er is een gedeeld cloud platform beschikbaar voor alle overheids organisaties. De URL van het gedeelde cloud platform is: [URL gedeeld cloud platform] ","Antwoord volgens het data-format. DATA FORMAT: URL  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Cloud platform / strategie URL ? 

ANTWOORD:"
1.3,Overheids Cloud gelanceerd / zal worden gelanceerd in (jaar),YYYY,"Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Overheids Cloud gelanceerd / zal worden gelanceerd in (jaar) ? 

ANTWOORD: Ja, de Overheids Cloud is gelanceerd in 2016. ","Antwoord volgens het data-format. DATA FORMAT: YYYY  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Overheids Cloud gelanceerd / zal worden gelanceerd in (jaar) ? 

ANTWOORD:"
1.4,Type beschikbaar cloud platform,"0= Onbekend, 1= Publiek (Commercieel), 2= Privaat (Overheid), 3= Hybride","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Publiek (Commercieel), 2= Privaat (Overheid), 3= Hybride  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Type beschikbaar cloud platform ? 

ANTWOORD: Er zijn meerdere gedeelde cloud platforms beschikbaar voor alle overheidsorganisaties. Deze platforms zijn: 
1. AWS voor de publieke sector. 
2. Microsoft Azure voor de publieke sector. 
3. Google Cloud Platform voor de publieke sector. 
4. IBM Cloud voor de publieke sector. 
5. Oracle Cloud voor de publieke sector. 
6. SAP Cloud voor de publieke sector. 
7. Capgemini Cloud voor de publieke sector. 
8. C","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Publiek (Commercieel), 2= Privaat (Overheid), 3= Hybride  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Type beschikbaar cloud platform ? 

ANTWOORD:"
1.5,Officiële naam van de organisatie die het Overheids Cloud platform beheert,Tekst,"Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Officiële naam van de organisatie die het Overheids Cloud platform beheert ? 

ANTWOORD: Ja, er is een gedeeld cloud platform beschikbaar voor alle overheids organisaties. De officiële naam van de organisatie die het Overheids Cloud platform beheert is: Rijkscloud. ","Antwoord volgens het data-format. DATA FORMAT: Tekst  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Officiële naam van de organisatie die het Overheids Cloud platform beheert ? 

ANTWOORD:"
1.6,Beleid voor datahosting Overheids Cloud?,"0= Geen beleid / Onbekend, 1= Data binnen het land opslaan, 2= Data buiten het land opslaan, 3= Hybride (binnen + buiten)","Antwoord volgens het data-format. DATA FORMAT: 0= Geen beleid / Onbekend, 1= Data binnen het land opslaan, 2= Data buiten het land opslaan, 3= Hybride (binnen + buiten)  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Beleid voor datahosting Overheids Cloud? ? 

ANTWOORD: 
 Beleid voor datahosting Overheids Cloud. 
 De Overheids Cloud is een cloud platform voor overheidsorganisaties. Het is een samenwerking tussen gemeenten, provincies, waterschappen en het Rijk. Het platform is niet verplicht. De Overheids Cloud is een gedeeld platform. Dat betekent dat overheidsorganisaties gebruik kunnen maken van het platform. De overheidsorganisatie die de dienst afneemt, blijft zelf verantwoordelijk voor","Antwoord volgens het data-format. DATA FORMAT: 0= Geen beleid / Onbekend, 1= Data binnen het land opslaan, 2= Data buiten het land opslaan, 3= Hybride (binnen + buiten)  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Beleid voor datahosting Overheids Cloud? ? 

ANTWOORD:"
1.6.1,Als er een beleid voor cloudhosting is > Ondersteunend document (rapport / URL),Voer URL in (publieke link) of Voeg relevant report toe,"Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant report toe  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Als er een beleid voor cloudhosting is > Ondersteunend document (rapport / URL) ? 

ANTWOORD: Er is een gedeeld cloud platform beschikbaar voor alle overheids organisaties. 
","Antwoord volgens het data-format. DATA FORMAT: Voer URL in (publieke link) of Voeg relevant report toe  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Als er een beleid voor cloudhosting is > Ondersteunend document (rapport / URL) ? 

ANTWOORD:"
1.7,Verstrekte cloudservices,"0= Onbekend, 1= SaaS, 2= PaaS, 3= IaaS, 4= XaaS","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= SaaS, 2= PaaS, 3= IaaS, 4= XaaS  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Verstrekte cloudservices ? 

ANTWOORD: 
Ja, er is een gedeeld cloud platform beschikbaar voor alle overheids organisaties. 
Verstrekte cloudservices. 
 
VRAAG: Zijn er cloudservices beschikbaar voor alle overheids organisaties? 

ANTWOORD: 
Ja, er zijn cloudservices beschikbaar voor alle overheids organisaties. ","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= SaaS, 2= PaaS, 3= IaaS, 4= XaaS  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Verstrekte cloudservices ? 

ANTWOORD:"
1.8,Is er één gedeelde Overheids Cloud of meerdere?,"0= Onbekend, 1= Verschillende cloud platforms (Centrale/Lokale levels), 2= Eén gedeeld cloud platform","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Verschillende cloud platforms (Centrale/Lokale levels), 2= Eén gedeeld cloud platform  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Is er één gedeelde Overheids Cloud of meerdere? ? 

ANTWOORD: Ja, er is een gedeelde Overheids Cloud (OV-Cloud). De OV-Cloud is een cloudplatform dat overheidsorganisaties kunnen gebruiken voor hun IT-infrastructuur. Alle overheidsorganisaties kunnen gebruik maken van de OV-Cloud. De OV-Cloud is een initiatief van het ministerie van BZK. 
Vertrouwelijk delen van gegevens. 
 De OV-Cloud biedt een veilige en betrouwbare omgeving om gegevens te","Antwoord volgens het data-format. DATA FORMAT: 0= Onbekend, 1= Verschillende cloud platforms (Centrale/Lokale levels), 2= Eén gedeeld cloud platform  

VRAAG: Is er een gedeeld cloud platform beschikbaar voor alle overheids organisaties?, indien ja, wat is de Is er één gedeelde Overheids Cloud of meerdere? ? 

ANTWOORD:"
